exp.name,ip,input,layout,description
FOXD3.5,SRR1378774,SRR1378774,SINGLE,TF
HDAC1.6,SRR1734568,SRR1734568,SINGLE,TF
SMARCA4.15,SRR1734569,SRR1734569,SINGLE,TF
HDAC1.7,SRR1734570,SRR1734570,SINGLE,TF
SMARCA4.16,SRR1734571,SRR1734571,SINGLE,TF
HDAC1.8,SRR1734573,SRR1734573,SINGLE,TF
SMARCA4.17,SRR1734574,SRR1734574,SINGLE,TF
HDAC1.9,SRR1734575,SRR1734575,SINGLE,TF
SMARCA4.18,SRR1734576,SRR1734576,SINGLE,TF
NRF1.4,SRR1973546,SRR1973546,SINGLE,TF
NRF1.5,SRR1973548,SRR1973548,SINGLE,TF
NRF1.6,SRR1973549,SRR1973549,SINGLE,TF
SMAD1/5.4,SRR2088074,SRR2088074,SINGLE,TF
RNF2.30,SRR2153397,SRR2153397,SINGLE,TF
RNF2.31,SRR2173771,SRR2173771,SINGLE,TF
SUZ12.57,SRR2173778,SRR2173778,SINGLE,TF
SUZ12.58,SRR2173781,SRR2173781,SINGLE,TF
TET3.4,SRR2321379,SRR2321379,SINGLE,TF
TET3.5,SRR2321380,SRR2321380,SINGLE,TF
NRF1.7,SRR2500883,SRR2500883,SINGLE,TF
NRF1.8,SRR2500884,SRR2500884,SINGLE,TF
SETDB1.5,SRR2518015,SRR2518015,SINGLE,TF
SOX2.29,SRR2890849,SRR2890849,SINGLE,TF
ZFP57.4,SRR2927815,SRR2927815,SINGLE,TF
TRIM28.13,SRR2927816,SRR2927816,SINGLE,TF
ZFP57.5,SRR2927818,SRR2927818,SINGLE,TF
TRIM28.14,SRR2927819,SRR2927819,SINGLE,TF
ZFP57.6,SRR1734466,SRR1734466,SINGLE,TF
ZFP57.7,SRR1734467,SRR1734467,SINGLE,TF
ZFP57.8,SRR1734468,SRR1734468,SINGLE,TF
ZFP57.9,SRR1734470,SRR1734470,SINGLE,TF
ZFP57.12,SRR1734497,SRR1734497,SINGLE,TF
ZFP57.13,SRR1734498,SRR1734498,SINGLE,TF
ZFP57.14,SRR1734509,SRR1734509,SINGLE,TF
